arcade_addr,rom_addr,role,window,operation_type,execution_class,evidence,safe_to_nop_after_replacement,safe_to_nop_reason,replacement_target,source_origin,patch_status,priority,confidence,notes
0x0556F2,0x0558F2,"C-window pointer store: ADDIL #0xC08000,D1 + MOVE.L D1,A5@(0x10A4) — FG base into workram layer-1 slot",C,pointer init,init_only,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → title init path → 0x0556F2.,YES,Already NOPped.,none,other,already_patched,not_needed,High,NOP'd.
0x05577E,0x05597E,"C-window pointer store: second ADDIL #0xC08000,D0 + MOVE.L D0,A5@(0x10A4) — duplicate FG base store",C,pointer init,init_only,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → title init → 0x05577E.,YES,Already NOPped.,none,other,already_patched,not_needed,High,NOP'd.
0x055818,0x055A18,"C-window pointer store: ADDIL #0xC08000,D0 + MOVE.L D0,A5@(0x10A0) — FG tilemap base into workram",C,pointer init,init_only,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → title init path → routine at 0x05577E area → 0x055818.,YES,Already NOPped. A5@(0x10A0) is now never read by tilemap hook (hook reads ROM directly).,none,other,already_patched,not_needed,High,NOP'd.
0x0558C6,0x055AC6,"Workram modifier: loop clearing workram area (0x10D000-related), frame counter reset",C,staging,dead_or_retired,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → tilemap area → workram modifier. NOPped in spec.,YES,Already NOPped. Modifies workram staging buffers that are retired (Build 140 direct ROM read).,none,workram,already_patched,not_needed,High,NOP'd.
0x0558E0,0x055AE0,Workram modifier 2: clears/resets workram slots used for tilemap staging buffers,C,staging,dead_or_retired,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → tilemap area → workram modifier 2. NOPped in spec.,YES,Already NOPped.,none,workram,already_patched,not_needed,High,NOP'd.
0x055904,0x055B04,"Tilemap row-ptr setup: reads 0x10D000 table, fills 0x10D040/0x10D080 with tile codes and attr pointers",C,staging,dead_or_retired,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → would be called from 0x55948 dispatch before plane writers. NOPped in spec.,YES,"NOPped. Build 140 bypass: tilemap hooks read ROM tile codes directly, bypassing this broken staging chain entirely.",none,workram,already_patched,not_needed,High,"NOPped. Root cause analysis in Build 140 log: even if un-NOPped, 0x10D040/0x10D080 writes go to wrong addresses (not remapped in game_engine_040000)."
0x055948,0x055B48,"Tilemap dispatch: checks mode (A5@(0x10A8)), BSR to plane_a (0x55968) or plane_b (0x55990), then BSR post-render hook (0x558A2)",C,control/state,active_every_frame_frontend,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → game engine render path → 0x055948 (dispatch). Called each frame during frontend tick.,NO,Not patched; needed to dispatch to hooked plane writers.,none,workram,unpatched,not_needed,High,"The dispatch runs unmodified. mode = A5@(0x10A8) = workram[0x854]. Currently always 0, so only plane_a fires. FG layer (plane_b) never renders until mode becomes non-zero. Mode investigation needed. [Build 142 repair: entry/dispatch control path, not a direct rendering replacement target.]"
0x055968,0x055B68,"Plane_a tilemap writer: iterates 16 rows of BG layer 0 tiles, writes to C-window (0xC00000-page 0). Hooked to genesistan_hook_tilemap_plane_a → VDP BG_B nametable writes.",C,direct write,active_every_frame_frontend,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → 0x055948 → BSR 0x055968 (mode==0 path).,YES,Replaced by JSR to genesistan_hook_tilemap_plane_a + RTS. C hook writes VDP nametable directly.,VDP nametable write,ROM table,already_patched,required_now_frontend,High,Build 140: hook reads tile codes from ROM at 0x16B1C + i*0x22C0 + frame_ctr*64. Writes to BG_B (arcade BG layer 0). frame_ctr = workram[0x9F]. Tile cache handles DMA on miss.
0x055990,0x055B90,"Plane_b tilemap writer: iterates 16 rows of FG layer 1 tiles, writes to C-window (0xC08000-page 2). Hooked to genesistan_hook_tilemap_plane_b → VDP BG_A nametable writes.",C,direct write,active_conditional_frontend,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → 0x055948 → BSR 0x055990 (mode!=0 path). Currently never fires (mode always 0).,YES,Replaced by JSR to genesistan_hook_tilemap_plane_b + RTS.,VDP nametable write,ROM table,already_patched,required_now_frontend,High,Build 140: hook writes to BG_A (arcade FG layer 1). GAP: mode (workram[0x854] = A5@(0x10A8)) is always 0 so this path never fires. Need to confirm when mode changes and whether FG layer is used during title sequence.
0x055AB4,0x055CB4,Scroll write: MOVE.W A5@(0x10EE) to 0xC20000 — Y-scroll layer 0 to PC080SN scroll register,C,scroll,active_every_frame_frontend,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → tilemap render area → post-tilemap scroll update at 0x55AB4 (fires each frame after tilemap dispatch).,NO,"Currently NOPped AND the shadow is never populated. GAP: scroll is stuck at 0,0. The source value A5@(0x10EE) = workram[0x877] is set by game code. Either un-NOP + remap to shadow, or read workram directly in sync_arcade_scroll_to_vdp().",VDP scroll write,workram,partially_patched,required_now_frontend,High,CRITICAL GAP: scroll shadow is never populated. game_engine_040000 range does NOT remap 0xC20000 to scroll shadow (maps to cwindow_null). Fix: read workram[0x877] directly in sync_arcade_scroll_to_vdp() instead of relying on shadow. [Build 142 repair: required_now because source scroll values must be driven from frontend live path into Genesis VDP scroll registers.]
0x055ABC,0x055CBC,Scroll write: MOVE.W A5@(0x10EC) to 0xC40000 — X-scroll layer 0 to PC080SN scroll register,C,scroll,active_every_frame_frontend,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → 0x055ABC (paired with 0x055AB4).,NO,Same gap as 0x055AB4. Source: workram[0x876].,VDP scroll write,workram,partially_patched,required_now_frontend,High,CRITICAL GAP: Same scroll shadow issue. Source A5@(0x10EC) = workram[0x876]. [Build 142 repair: required_now because source scroll values must be driven from frontend live path into Genesis VDP scroll registers.]
0x055AC4,0x055CC4,Scroll write: MOVE.W A5@(0x10B0) to 0xC20002 — Y-scroll layer 1 to PC080SN scroll register,C,scroll,active_every_frame_frontend,"genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → 0x055AC4 (layer 1 Y-scroll, paired sequence).",NO,Same gap. Source: workram[0x858].,VDP scroll write,workram,partially_patched,required_now_frontend,High,CRITICAL GAP: Source A5@(0x10B0) = workram[0x858]. [Build 142 repair: required_now because source scroll values must be driven from frontend live path into Genesis VDP scroll registers.]
0x055ACC,0x055CCC,Scroll write: MOVE.W A5@(0x10AE) to 0xC40002 — X-scroll layer 1 to PC080SN scroll register,C,scroll,active_every_frame_frontend,"genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → 0x055ACC (layer 1 X-scroll, paired sequence).",NO,Same gap. Source: workram[0x857].,VDP scroll write,workram,partially_patched,required_now_frontend,High,CRITICAL GAP: Source A5@(0x10AE) = workram[0x857]. Fix all 4 scroll writes together in sync_arcade_scroll_to_vdp(). [Build 142 repair: required_now because source scroll values must be driven from frontend live path into Genesis VDP scroll registers.]
0x055B84,0x055D84,"C-window pointer: ADDIL #0xC00000,D0 — adds BG-page base to D0 in pointer advancement sequence",C,pointer init,dead_or_retired,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → pointer init path → 0x055B84. Part of workram row-ptr chain (retired).,YES,Already NOPped.,none,other,already_patched,not_needed,High,NOP'd.
0x055DDC,0x055FDC,Sprite-phase control helper state machine (calls 0x5602A branch tree; formerly reached from 0x03A6B2/0x03A860).,none,control/state,dead_or_retired,Frontend callsites 0x03A6B2 and 0x03A860 were opcode-NOPed; helper is not reached in current frontend build.,YES,Current frontend path already bypasses this helper via patched callsites.,none,workram,already_patched,not_needed,High,Build 142 repair add: D-window-adjacent control/state path explicitly catalogued as non-target in current frontend rendering replacement.
0x055E54,0x056054,Pointer init: MOVE.L #0xC00400 to A5@(0x10A0) — stores BG-nametable base into A5 workram slot,C,pointer init,init_only,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → title init path → 0x055E54.,YES,Already NOPped. A5@(0x10A0) row-ptr slot no longer read by hooks.,none,other,already_patched,not_needed,High,NOP'd.
0x056032,0x056232,"Pointer load: MOVEA.L #0xC00828,A1 — loads C-window address into A1 for subsequent writes",C,pointer init,dead_or_retired,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → game engine path → 0x056032.,YES,Already NOPped.,none,other,already_patched,not_needed,High,"NOP'd. [Build 142 repair: patched-out runtime path; retained for traceability, not a live rendering replacement target.]"
0x05605C,0x05625C,"Pointer load: MOVEA.L #0xC00028,A1 — second C-window base load (alternate path)",C,pointer init,dead_or_retired,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → game engine → 0x05605C (alternate to 0x056032).,YES,Already NOPped.,none,other,already_patched,not_needed,High,"NOP'd. [Build 142 repair: patched-out runtime path; retained for traceability, not a live rendering replacement target.]"
0x0560DA,0x0562DA,Large C-window store sequence: multiple moves to C-window BG-layer (0xC08000 region),C,direct write,active_conditional_frontend,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → game engine path → 0x0560DA. Large block of C-window writes NOPped.,YES,Already NOPped (large NOP span).,VDP nametable write,ROM table,already_patched,later_gameplay,Medium,NOP'd. Large block. Purpose unclear from address alone — may be sprite/control data writes to PC080SN internal region.
0x0561C0,0x0563C0,"C-window copy: MOVEA.L #0xC08000,A0 + MOVEA.L #0xC00000,A1 + MOVE.L (A0),(A1) — copies FG-page data to BG-page",C,copy,dead_or_retired,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → game engine → 0x0561C0.,YES,Already NOPped. Intra-C-window copy; irrelevant on Genesis since VDP planes are separate.,none,other,already_patched,not_needed,High,"NOP'd. Cross-page copy within C-window. Genesis VDP manages BG_A/BG_B independently. [Build 142 repair: patched-out runtime path; retained for traceability, not a live rendering replacement target.]"
0x0575CE,0x0577CE,"C-window base RTS: third MOVEA.L #0xC08000,A0 entry (another route to row-ptr builder)",C,pointer init,dead_or_retired,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → third alternate path to row-ptr builder → 0x0575CE. RTS'd.,YES,RTS'd at entry.,none,other,already_patched,not_needed,High,RTS'd.
